session_id,timestamp,country,device_category,source,page_path,avg_session_duration_sec,bounce_rate,conversions,new_user,page_views,unique_page_views
SESS-300000,2025-02-20 21:49:08,India,Mobile,Organic Search,/product/home-kitchen,4.0,0.441,0,No,3,1
SESS-300001,2025-11-22 06:59:03,Other,Desktop,Social,/product/books,200.5,0.517,0,Yes,1,1
SESS-300002,2025-09-18 12:20:05,India,Mobile,Organic Search,/checkout,313.6,0.538,0,No,2,1
SESS-300003,2025-03-12 20:43:00,United States,Mobile,Organic Search,/home,177.5,0.498,0,Yes,2,1
SESS-300004,2025-11-09 03:13:46,Brazil,Mobile,Organic Search,/deals,206.9,0.564,0,No,1,1
SESS-300005,2025-04-04 19:49:47,India,Mobile,Organic Search,/deals,259.0,0.405,0,Yes,1,1
SESS-300006,2025-11-13 15:59:58,Australia,Desktop,Direct,/product/electronics,114.3,0.214,0,Yes,5,4
SESS-300007,2025-06-01 23:25:42,Japan,Mobile,Organic Search,/product/home-kitchen,48.9,0.549,0,Yes,2,1
SESS-300008,2025-05-03 05:17:35,United States,Desktop,Email,/product/home-kitchen,192.1,,0,Yes,5,3
SESS-300009,2025-01-04 09:01:04,India,Desktop,Social,/search,101.0,0.577,0,Yes,1,1
SESS-300010,2025-11-06 12:47:47,Other,Desktop,Email,/product/fashion,61.4,0.34,0,No,2,1
SESS-300011,2025-10-14 00:43:03,United States,Desktop,Organic Search,/product/electronics,60.3,0.443,1,Yes,1,1
SESS-300012,2025-01-13 15:59:30,India,Desktop,Email,/product/electronics,252.6,0.261,0,Yes,4,2
SESS-300013,2025-09-17 11:04:18,United States,Desktop,Paid Search,/product/home-kitchen,21.0,0.467,0,Yes,2,1
SESS-300014,2025-06-28 03:32:36,India,Desktop,Social,/deals,82.9,0.525,0,Yes,2,1
SESS-300015,2025-09-01 00:10:42,United States,Mobile,Referral,/deals,220.0,0.408,0,Yes,2,1
SESS-300016,2025-04-05 21:55:51,India,Desktop,Social,/home,593.8,0.518,0,No,1,1
SESS-300017,2025-01-19 07:17:48,Mexico,Tablet,Organic Search,/search,363.8,0.409,0,Yes,1,1
SESS-300018,2025-11-02 21:13:48,Other,Desktop,Referral,/home,89.4,0.387,0,Yes,4,3
SESS-300019,2025-10-19 19:44:31,United Kingdom,Mobile,Organic Search,/checkout,64.4,0.454,0,Yes,1,1
SESS-300020,2025-03-08 14:41:58,Other,Desktop,Organic Search,/checkout,81.5,0.381,0,Yes,4,3
SESS-300021,2025-05-07 20:37:30,Germany,Desktop,Organic Search,/home,288.9,0.265,0,Yes,2,1
SESS-300022,2025-12-27 06:18:43,United States,Mobile,Social,/cart,219.0,0.607,0,Yes,1,1
SESS-300023,2025-02-23 11:56:03,United States,Desktop,Paid Search,/product/electronics,167.7,0.452,0,No,2,1
SESS-300024,2025-06-24 13:03:30,United States,Desktop,Organic Search,/checkout,43.3,0.399,0,Yes,4,2
SESS-300025,2025-05-04 17:45:25,United States,Mobile,Social,/product/fashion,368.0,0.428,0,Yes,1,1
SESS-300026,2025-02-15 12:43:46,Australia,Desktop,Paid Search,/search,29.1,0.371,0,Yes,3,1
SESS-300027,2025-01-13 02:37:44,United States,Mobile,Direct,/product/fashion,76.8,0.445,0,No,1,1
SESS-300028,2025-02-01 10:45:31,Brazil,Mobile,Organic Search,/deals,74.7,0.679,0,Yes,1,1
SESS-300029,2025-09-01 14:00:15,India,Mobile,Direct,/home,418.5,0.329,0,Yes,1,1
SESS-300030,2025-06-09 20:23:20,United States,Desktop,Paid Search,/deals,289.1,0.458,0,No,3,2
SESS-300031,2025-05-02 08:22:37,India,Desktop,Paid Search,/home,30.2,0.541,0,No,1,1
SESS-300032,2025-03-16 21:43:22,India,Mobile,Direct,/product/fashion,78.7,0.464,0,No,1,1
SESS-300033,2025-07-27 16:57:38,Other,Desktop,Direct,/product/home-kitchen,273.7,0.399,0,Yes,2,1
SESS-300034,2025-12-22 08:21:42,Brazil,Desktop,Organic Search,/deals,344.5,0.425,0,Yes,2,1
SESS-300035,2025-12-28 13:18:11,United States,Desktop,Organic Search,/product/electronics,212.7,0.329,0,Yes,1,1
SESS-300036,2025-05-28 15:36:35,United Kingdom,Mobile,Organic Search,/search,75.5,0.524,0,No,1,1
SESS-300037,2025-11-26 15:49:44,United States,Desktop,Paid Search,/home,329.9,0.374,0,No,3,2
SESS-300038,2025-11-27 05:15:03,United States,Desktop,Paid Search,/home,63.6,0.278,0,Yes,3,2
SESS-300039,2025-08-11 12:05:46,United States,Desktop,Referral,/product/electronics,,0.464,0,Yes,1,1
SESS-300040,2025-07-29 00:54:49,Other,Mobile,Organic Search,/deals,77.1,0.523,0,No,1,1
SESS-300041,2025-08-04 00:09:47,United Kingdom,Desktop,Organic Search,/deals,151.2,0.258,0,Yes,5,4
SESS-300042,2025-02-09 11:10:55,United States,Desktop,Social,/product/electronics,355.3,0.476,0,Yes,2,1
SESS-300043,2025-01-30 19:45:21,France,Mobile,Paid Search,/home,178.9,0.525,0,Yes,1,1
SESS-300044,2025-03-29 01:36:50,Other,Desktop,Email,/product/books,183.5,0.309,0,Yes,4,3
SESS-300045,2025-03-13 19:36:01,United States,Mobile,Organic Search,/cart,27.9,0.517,0,No,1,1
SESS-300046,2025-04-08 16:48:59,Germany,Desktop,Direct,/cart,349.6,0.238,0,No,2,1
SESS-300047,2025-06-11 15:39:46,Germany,Mobile,Organic Search,/product/electronics,127.2,0.565,0,Yes,1,1
SESS-300048,2025-10-07 06:18:15,United States,Mobile,Referral,/home,,0.355,0,No,6,3
SESS-300049,2025-10-06 05:00:34,United Kingdom,Mobile,Organic Search,/product/home-kitchen,86.2,0.67,0,No,2,1
SESS-300050,2025-03-30 07:52:46,Mexico,Mobile,Organic Search,/product/home-kitchen,340.1,0.383,0,Yes,5,4
SESS-300051,2025-07-07 17:54:19,Germany,Desktop,Direct,/home,552.7,0.365,0,No,4,3
SESS-300052,2025-04-06 03:21:26,India,Desktop,Paid Search,/product/home-kitchen,87.8,0.546,0,No,1,1
SESS-300053,2025-10-16 09:30:41,Canada,Mobile,Organic Search,/product/electronics,400.8,0.526,0,Yes,2,1
SESS-300054,2025-10-06 05:09:12,Other,Tablet,Direct,/product/electronics,131.7,0.423,0,Yes,1,1
SESS-300055,2025-05-17 02:45:15,Australia,Mobile,Paid Search,/product/home-kitchen,61.6,0.582,1,No,1,1
SESS-300056,2025-01-19 19:43:53,France,Desktop,Paid Search,/product/home-kitchen,227.5,0.37,0,Yes,1,1
SESS-300057,2025-06-09 11:54:56,India,Desktop,Organic Search,/home,109.9,0.417,0,Yes,2,1
SESS-300058,2025-08-30 00:09:43,India,Mobile,Email,/product/electronics,40.1,0.475,0,Yes,1,1
SESS-300059,2025-04-25 04:17:36,India,Mobile,Direct,/product/home-kitchen,509.7,0.373,0,Yes,2,1
SESS-300060,2025-06-11 21:13:16,India,Desktop,Organic Search,/home,236.8,0.313,0,Yes,8,7
SESS-300061,2025-11-07 11:00:07,United Kingdom,Mobile,Organic Search,/home,186.6,0.487,0,Yes,1,1
SESS-300062,2025-03-04 21:29:01,United Kingdom,Mobile,Referral,/product/fashion,106.9,0.295,0,No,2,1
SESS-300063,2025-07-13 00:27:01,India,Desktop,Social,/product/home-kitchen,50.6,0.644,0,Yes,1,1
SESS-300064,2025-03-06 04:28:36,India,Mobile,Organic Search,/product/electronics,162.3,0.513,0,No,1,1
SESS-300065,2025-09-03 20:33:30,France,Mobile,Paid Search,/home,51.7,,0,Yes,1,1
SESS-300066,2025-10-30 13:29:43,Canada,Mobile,Social,/checkout,19.5,0.604,0,No,1,1
SESS-300067,2025-01-19 06:09:30,Other,Mobile,Direct,/product/electronics,224.7,0.516,0,No,1,1
SESS-300068,2025-03-19 09:19:12,Other,Desktop,Paid Search,/deals,102.3,0.395,0,No,2,1
SESS-300069,2025-10-17 17:45:12,Japan,Mobile,Organic Search,/home,310.9,0.285,0,Yes,5,4
SESS-300070,2025-01-29 01:17:47,United States,Mobile,Paid Search,/product/electronics,65.3,0.61,0,No,3,2
SESS-300071,2025-03-25 04:14:18,Brazil,Mobile,Direct,/home,117.1,0.4,0,No,1,1
SESS-300072,2025-08-30 22:01:18,India,Mobile,Direct,/product/fashion,28.6,0.415,0,Yes,1,1
SESS-300073,2025-12-13 08:37:17,Other,Mobile,Organic Search,/home,28.0,0.528,0,No,1,1
SESS-300074,2025-01-31 21:59:26,United States,Desktop,Paid Search,/product/home-kitchen,231.6,0.378,0,Yes,3,2
SESS-300075,2025-01-31 08:10:29,Australia,Desktop,Social,/checkout,115.9,0.54,0,Yes,1,1
SESS-300076,2025-08-23 13:02:26,Japan,Mobile,Organic Search,/home,107.6,0.524,0,Yes,1,1
SESS-300077,2025-11-22 21:44:21,India,Mobile,Direct,/checkout,222.2,0.368,0,No,2,1
SESS-300078,2025-02-02 12:01:56,Japan,Mobile,direct  ,/product/electronics,492.5,0.303,0,Yes,5,3
SESS-300079,2025-01-26 15:22:44,United States,Desktop,Organic Search,/product/fashion,92.7,0.409,0,Yes,1,1
SESS-300080,2025-06-02 03:52:40,India,Mobile,Organic Search,/deals,43.1,0.48,0,Yes,1,1
SESS-300081,2025-11-15 00:04:32,United Kingdom,Mobile,Direct,/home,177.4,0.506,0,No,1,1
